age,age_group,job,marital,education,balance,housing,loan,contact,month,month_number,duration,campaign,campaign_contact_group,pdays,previous,poutcome,previously_contacted,conversion,y
58,56-65,management,married,tertiary,2143,yes,no,unknown,may,5,261,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,technician,single,secondary,29,yes,no,unknown,may,5,151,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,entrepreneur,married,secondary,2,yes,yes,unknown,may,5,76,1,1 Contact,-1,0,unknown,No,0,no
47,46-55,blue-collar,married,unknown,1506,yes,no,unknown,may,5,92,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,unknown,single,unknown,1,no,no,unknown,may,5,198,1,1 Contact,-1,0,unknown,No,0,no
35,26-35,management,married,tertiary,231,yes,no,unknown,may,5,139,1,1 Contact,-1,0,unknown,No,0,no
28,26-35,management,single,tertiary,447,yes,yes,unknown,may,5,217,1,1 Contact,-1,0,unknown,No,0,no
42,36-45,entrepreneur,divorced,tertiary,2,yes,no,unknown,may,5,380,1,1 Contact,-1,0,unknown,No,0,no
58,56-65,retired,married,primary,121,yes,no,unknown,may,5,50,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,technician,single,secondary,593,yes,no,unknown,may,5,55,1,1 Contact,-1,0,unknown,No,0,no
41,36-45,admin.,divorced,secondary,270,yes,no,unknown,may,5,222,1,1 Contact,-1,0,unknown,No,0,no
29,26-35,admin.,single,secondary,390,yes,no,unknown,may,5,137,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,technician,married,secondary,6,yes,no,unknown,may,5,517,1,1 Contact,-1,0,unknown,No,0,no
58,56-65,technician,married,unknown,71,yes,no,unknown,may,5,71,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,services,married,secondary,162,yes,no,unknown,may,5,174,1,1 Contact,-1,0,unknown,No,0,no
51,46-55,retired,married,primary,229,yes,no,unknown,may,5,353,1,1 Contact,-1,0,unknown,No,0,no
45,36-45,admin.,single,unknown,13,yes,no,unknown,may,5,98,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,blue-collar,married,primary,52,yes,no,unknown,may,5,38,1,1 Contact,-1,0,unknown,No,0,no
60,56-65,retired,married,primary,60,yes,no,unknown,may,5,219,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,services,married,secondary,0,yes,no,unknown,may,5,54,1,1 Contact,-1,0,unknown,No,0,no
28,26-35,blue-collar,married,secondary,723,yes,yes,unknown,may,5,262,1,1 Contact,-1,0,unknown,No,0,no
56,56-65,management,married,tertiary,779,yes,no,unknown,may,5,164,1,1 Contact,-1,0,unknown,No,0,no
32,26-35,blue-collar,single,primary,23,yes,yes,unknown,may,5,160,1,1 Contact,-1,0,unknown,No,0,no
25,18-25,services,married,secondary,50,yes,no,unknown,may,5,342,1,1 Contact,-1,0,unknown,No,0,no
40,36-45,retired,married,primary,0,yes,yes,unknown,may,5,181,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,admin.,married,secondary,-372,yes,no,unknown,may,5,172,1,1 Contact,-1,0,unknown,No,0,no
39,36-45,management,single,tertiary,255,yes,no,unknown,may,5,296,1,1 Contact,-1,0,unknown,No,0,no
52,46-55,entrepreneur,married,secondary,113,yes,yes,unknown,may,5,127,1,1 Contact,-1,0,unknown,No,0,no
46,46-55,management,single,secondary,-246,yes,no,unknown,may,5,255,2,2 Contacts,-1,0,unknown,No,0,no
36,36-45,technician,single,secondary,265,yes,yes,unknown,may,5,348,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,technician,married,secondary,839,no,yes,unknown,may,5,225,1,1 Contact,-1,0,unknown,No,0,no
49,46-55,management,married,tertiary,378,yes,no,unknown,may,5,230,1,1 Contact,-1,0,unknown,No,0,no
60,56-65,admin.,married,secondary,39,yes,yes,unknown,may,5,208,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,blue-collar,married,secondary,0,yes,no,unknown,may,5,226,1,1 Contact,-1,0,unknown,No,0,no
51,46-55,management,married,tertiary,10635,yes,no,unknown,may,5,336,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,technician,divorced,secondary,63,yes,no,unknown,may,5,242,1,1 Contact,-1,0,unknown,No,0,no
25,18-25,blue-collar,married,secondary,-7,yes,no,unknown,may,5,365,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,technician,married,secondary,-3,no,no,unknown,may,5,1666,1,1 Contact,-1,0,unknown,No,0,no
36,36-45,admin.,divorced,secondary,506,yes,no,unknown,may,5,577,1,1 Contact,-1,0,unknown,No,0,no
37,36-45,admin.,single,secondary,0,yes,no,unknown,may,5,137,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,services,divorced,secondary,2586,yes,no,unknown,may,5,160,1,1 Contact,-1,0,unknown,No,0,no
50,46-55,management,married,secondary,49,yes,no,unknown,may,5,180,2,2 Contacts,-1,0,unknown,No,0,no
60,56-65,blue-collar,married,unknown,104,yes,no,unknown,may,5,22,1,1 Contact,-1,0,unknown,No,0,no
54,46-55,retired,married,secondary,529,yes,no,unknown,may,5,1492,1,1 Contact,-1,0,unknown,No,0,no
58,56-65,retired,married,unknown,96,yes,no,unknown,may,5,616,1,1 Contact,-1,0,unknown,No,0,no
36,36-45,admin.,single,primary,-171,yes,no,unknown,may,5,242,1,1 Contact,-1,0,unknown,No,0,no
58,56-65,self-employed,married,tertiary,-364,yes,no,unknown,may,5,355,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,technician,married,secondary,0,yes,no,unknown,may,5,225,2,2 Contacts,-1,0,unknown,No,0,no
55,46-55,technician,divorced,secondary,0,no,no,unknown,may,5,160,1,1 Contact,-1,0,unknown,No,0,no
29,26-35,management,single,tertiary,0,yes,no,unknown,may,5,363,1,1 Contact,-1,0,unknown,No,0,no
54,46-55,blue-collar,married,secondary,1291,yes,no,unknown,may,5,266,1,1 Contact,-1,0,unknown,No,0,no
48,46-55,management,divorced,tertiary,-244,yes,no,unknown,may,5,253,1,1 Contact,-1,0,unknown,No,0,no
32,26-35,management,married,tertiary,0,yes,no,unknown,may,5,179,1,1 Contact,-1,0,unknown,No,0,no
42,36-45,admin.,single,secondary,-76,yes,no,unknown,may,5,787,1,1 Contact,-1,0,unknown,No,0,no
24,18-25,technician,single,secondary,-103,yes,yes,unknown,may,5,145,1,1 Contact,-1,0,unknown,No,0,no
38,36-45,entrepreneur,single,tertiary,243,no,yes,unknown,may,5,174,1,1 Contact,-1,0,unknown,No,0,no
38,36-45,management,single,tertiary,424,yes,no,unknown,may,5,104,1,1 Contact,-1,0,unknown,No,0,no
47,46-55,blue-collar,married,unknown,306,yes,no,unknown,may,5,13,1,1 Contact,-1,0,unknown,No,0,no
40,36-45,blue-collar,single,unknown,24,yes,no,unknown,may,5,185,1,1 Contact,-1,0,unknown,No,0,no
46,46-55,services,married,primary,179,yes,no,unknown,may,5,1778,1,1 Contact,-1,0,unknown,No,0,no
32,26-35,admin.,married,tertiary,0,yes,no,unknown,may,5,138,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,technician,divorced,secondary,989,yes,no,unknown,may,5,812,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,blue-collar,married,primary,249,yes,no,unknown,may,5,164,1,1 Contact,-1,0,unknown,No,0,no
33,26-35,services,married,secondary,790,yes,no,unknown,may,5,391,1,1 Contact,-1,0,unknown,No,0,no
49,46-55,blue-collar,married,unknown,154,yes,no,unknown,may,5,357,1,1 Contact,-1,0,unknown,No,0,no
51,46-55,management,married,tertiary,6530,yes,no,unknown,may,5,91,1,1 Contact,-1,0,unknown,No,0,no
60,56-65,retired,married,tertiary,100,no,no,unknown,may,5,528,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,management,divorced,tertiary,59,yes,no,unknown,may,5,273,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,technician,married,secondary,1205,yes,no,unknown,may,5,158,2,2 Contacts,-1,0,unknown,No,0,no
35,26-35,blue-collar,single,secondary,12223,yes,yes,unknown,may,5,177,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,blue-collar,married,secondary,5935,yes,yes,unknown,may,5,258,1,1 Contact,-1,0,unknown,No,0,no
31,26-35,services,married,secondary,25,yes,yes,unknown,may,5,172,1,1 Contact,-1,0,unknown,No,0,no
54,46-55,management,married,secondary,282,yes,yes,unknown,may,5,154,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,blue-collar,married,primary,23,yes,no,unknown,may,5,291,1,1 Contact,-1,0,unknown,No,0,no
43,36-45,technician,married,secondary,1937,yes,no,unknown,may,5,181,1,1 Contact,-1,0,unknown,No,0,no
53,46-55,technician,married,secondary,384,yes,no,unknown,may,5,176,1,1 Contact,-1,0,unknown,No,0,no
44,36-45,blue-collar,married,secondary,582,no,yes,unknown,may,5,211,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,services,divorced,secondary,91,no,no,unknown,may,5,349,1,1 Contact,-1,0,unknown,No,0,no
49,46-55,services,divorced,secondary,0,yes,yes,unknown,may,5,272,1,1 Contact,-1,0,unknown,No,0,no
55,46-55,services,divorced,secondary,1,yes,no,unknown,may,5,208,1,1 Contact,-1,0,unknown,No,0,no
45,36-45,admin.,single,secondary,206,yes,no,unknown,may,5,193,1,1 Contact,-1,0,unknown,No,0,no
47,46-55,services,divorced,secondary,164,no,no,unknown,may,5,212,1,1 Contact,-1,0,unknown,No,0,no
42,36-45,technician,single,secondary,690,yes,no,unknown,may,5,20,1,1 Contact,-1,0,unknown,No,0,no
59,56-65,admin.,married,secondary,2343,yes,no,unknown,may,5,1042,1,1 Contact,-1,0,unknown,No,1,yes
46,46-55,self-employed,married,tertiary,137,yes,yes,unknown,may,5,246,1,1 Contact,-1,0,unknown,No,0,no
51,46-55,blue-collar,married,primary,173,yes,no,unknown,may,5,529,2,2 Contacts,-1,0,unknown,No,0,no
56,56-65,admin.,married,secondary,45,no,no,unknown,may,5,1467,1,1 Contact,-1,0,unknown,No,1,yes
41,36-45,technician,married,secondary,1270,yes,no,unknown,may,5,1389,1,1 Contact,-1,0,unknown,No,1,yes
46,46-55,management,divorced,secondary,16,yes,yes,unknown,may,5,188,2,2 Contacts,-1,0,unknown,No,0,no
57,56-65,retired,married,secondary,486,yes,no,unknown,may,5,180,2,2 Contacts,-1,0,unknown,No,0,no
42,36-45,management,single,secondary,50,no,no,unknown,may,5,48,1,1 Contact,-1,0,unknown,No,0,no
30,26-35,technician,married,secondary,152,yes,yes,unknown,may,5,213,2,2 Contacts,-1,0,unknown,No,0,no
60,56-65,admin.,married,secondary,290,yes,no,unknown,may,5,583,1,1 Contact,-1,0,unknown,No,0,no
60,56-65,blue-collar,married,unknown,54,yes,no,unknown,may,5,221,1,1 Contact,-1,0,unknown,No,0,no
57,56-65,entrepreneur,divorced,secondary,-37,no,no,unknown,may,5,173,1,1 Contact,-1,0,unknown,No,0,no
36,36-45,management,married,tertiary,101,yes,yes,unknown,may,5,426,1,1 Contact,-1,0,unknown,No,0,no
